Wall time,Step,Value
1690704880.6318781,2048,-180.42926025390625
1690704897.8808618,4096,-178.18727111816406
1690704915.3684428,6144,-178.42469787597656
1690704931.7280989,8192,-179.27987670898438
1690704948.4695716,10240,-179.5565643310547
1690704965.1042435,12288,-179.7303009033203
1690704982.2714815,14336,-179.76766967773438
1690704998.9431202,16384,-179.8092803955078
1690705016.6405451,18432,-179.7119598388672
1690705033.1459186,20480,-179.47911071777344
1690705050.9011896,22528,-179.5515899658203
1690705068.955145,24576,-179.4006805419922
1690705085.6946065,26624,-179.17697143554688
1690705103.5025241,28672,-179.1194610595703
1690705121.133897,30720,-179.22021484375
1690705138.7077107,32768,-178.9370880126953
1690705156.5550518,34816,-178.8692626953125
1690705173.198493,36864,-178.98477172851562
1690705189.7983894,38912,-178.8048095703125
1690705207.042207,40960,-178.8727264404297
1690705224.5705006,43008,-178.70913696289062
1690705240.5746565,45056,-178.7474822998047
1690705257.8840609,47104,-178.73129272460938
1690705275.1676006,49152,-178.4246826171875
1690705291.2761712,51200,-178.40663146972656
1690705309.14616,53248,-178.34767150878906
1690705326.202926,55296,-178.4545440673828
1690705342.8540304,57344,-178.3990020751953
1690705360.2881165,59392,-178.34210205078125
1690705377.9000745,61440,-178.3389129638672
1690705393.886847,63488,-178.3144989013672
1690705411.4937522,65536,-178.2338409423828
1690705429.615386,67584,-178.156982421875
1690705447.3650155,69632,-178.2113037109375
1690705464.6579883,71680,-178.06121826171875
1690705481.308901,73728,-177.982421875
1690705499.0333297,75776,-177.85189819335938
1690705517.3843613,77824,-177.883544921875
1690705533.9014025,79872,-177.82884216308594
1690705551.9101536,81920,-177.67059326171875
1690705568.9900846,83968,-177.66415405273438
1690705587.1512558,86016,-177.6439971923828
1690705604.597865,88064,-177.54635620117188
1690705621.658403,90112,-177.4353485107422
1690705639.2179854,92160,-177.3445587158203
1690705656.2751286,94208,-177.20643615722656
1690705674.5588064,96256,-177.15359497070312
1690705691.307591,98304,-177.05226135253906
1690705708.9581547,100352,-177.00448608398438
1690705725.8421037,102400,-176.9641571044922
1690705742.6299925,104448,-176.80348205566406
1690705759.725586,106496,-176.70339965820312
1690705777.609401,108544,-176.5565643310547
1690705795.2091196,110592,-176.4260711669922
1690705812.7156084,112640,-176.34365844726562
1690705829.7315578,114688,-176.2110137939453
1690705847.1908836,116736,-176.07797241210938
1690705864.174362,118784,-175.81011962890625
1690705882.0714443,120832,-175.64027404785156
1690705898.5618327,122880,-175.5342559814453
1690705915.8738256,124928,-175.30059814453125
1690705933.8290145,126976,-175.2126007080078
1690705950.3962474,129024,-175.20458984375
